Year;Week;cases_BE;ND;NP;NI;cases_UZ;NPI_BE;Testing_UZ;PPE_UZ;Visitors_UZ;Working_UZ;VOC;cases_BE_1;ND_1;NP_1;NI_1;cases_UZ_1;NPI_BE_1;Testing_UZ_1;PPE_UZ_1;Visitors_UZ_1;Working_UZ_1;VOC_1;cases_BE_2;ND_2;NP_2;NI_2;cases_UZ_2;NPI_BE_2;Testing_UZ_2;PPE_UZ_2;Visitors_UZ_2;Working_UZ_2;VOC_2;cases_BE_3;ND_3;NP_3;NI_3;cases_UZ_3;NPI_BE_3;Testing_UZ_3;PPE_UZ_3;Visitors_UZ_3;Working_UZ_3;VOC_3
2020;9;19;0;0;0;0;1;2;2;1;1;0;0;0;0;0;0;1;;;;;0;0;0;0;0;0;1;;;;;0;0;0;0;0;0;1;;;;;0
2020;10;388;0;0;0;0;1;2;2;1;1;0;19;0;0;0;0;1;2;2;1;1;0;0;0;0;0;0;1;;;;;0;0;0;0;0;0;1;;;;;0
2020;11;1348;0;0;0;0;2;3;2;2;2;0;388;0;0;0;0;1;2;2;1;1;0;19;0;0;0;0;1;2;2;1;1;0;0;0;0;0;0;1;;;;;0
2020;12;3673;0;0;0;0;2;3;2;2;2;0;1348;0;0;0;0;2;3;2;2;2;0;388;0;0;0;0;1;2;2;1;1;0;19;0;0;0;0;1;2;2;1;1;0
2020;13;8130;0;2;0;2;4;3;2;3;4;0;3673;0;0;0;0;2;3;2;2;2;0;1348;0;0;0;0;2;3;2;2;2;0;388;0;0;0;0;1;2;2;1;1;0
2020;14;9694;1;1;2;4;4;3;2;3;4;0;8130;0;2;0;2;4;3;2;3;4;0;3673;0;0;0;0;2;3;2;2;2;0;1348;0;0;0;0;2;3;2;2;2;0
2020;15;11175;0;1;3;4;4;3;2;4;4;0;9694;1;1;2;4;4;3;2;3;4;0;8130;0;2;0;2;4;3;2;3;4;0;3673;0;0;0;0;2;3;2;2;2;0
2020;16;7963;3;2;5;10;4;3;2;4;4;0;11175;0;1;3;4;4;3;2;4;4;0;9694;1;1;2;4;4;3;2;3;4;0;8130;0;2;0;2;4;3;2;3;4;0
2020;17;5703;1;0;1;2;4;3;2;4;4;0;7963;3;2;5;10;4;3;2;4;4;0;11175;0;1;3;4;4;3;2;4;4;0;9694;1;1;2;4;4;3;2;3;4;0
2020;18;3095;2;3;1;6;4;3;2;4;4;0;5703;1;0;1;2;4;3;2;4;4;0;7963;3;2;5;10;4;3;2;4;4;0;11175;0;1;3;4;4;3;2;4;4;0
2020;19;3051;2;1;0;3;4;3;3;4;4;0;3095;2;3;1;6;4;3;2;4;4;0;5703;1;0;1;2;4;3;2;4;4;0;7963;3;2;5;10;4;3;2;4;4;0
